id,question,answer
0,Company name,HONEYWELL INTERNATIONAL INC
1,Company year,2018
2,CIK,773840
3,When was the restructuring plan announced,N/A
4,What are the management stated reasons (purpose) of restructuring,"To drive profitable growth, expand margins, execute disciplined M&A and integration processes, control corporate costs, and increase availability of capital."
5,What savings does the company anticipate,N/A
6,What savings did the company accomplish in relation to restructuring performed in prior years,N/A
7,How much total restructuring charges were recorded,$530 million in 2018
8,"What is the breakdown (components) of the charges? (severance, lease termination)","Severance costs: $289 million
   - Asset impairments: $162 million
   - Exit costs: $79 million"
9,How much reduction in employees? (either as a number of employees reduced or as a percentage of the workforce),"Workforce reductions of 6,486 manufacturing and administrative positions in 2018"
10,"Were any facilities closed? If so, which ones? (List countries, states, or any other locations)",N/A (The document mentions planned site closures but does not specify locations)
11,Was there a cost reduction? Yes or No.,Yes
12,"Did they mention when they want to complete the restructuring? If so, what was the timeline provided",N/A
